web-scraper-order,web-scraper-start-url,books,books-href,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,places,awards
"1618238708-3912","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Ender's Game (Ender's Saga, #1)","https://www.goodreads.com/book/show/375802.Ender_s_Game","Ender's Game","Orson Scott Card","44,085
    reviews","1,177,825
  ratings","4.30","324 pages","Published
        September 30th 2004
         by Tor

            
              (first published 1985)","Other books in the series","Audiobook","null","Hugo Award for Best Novel (1986), Nebula Award for Best Novel (1985), Premi Ictineu for Millor novel·la traduïda (2014), Nébula (1985), Margaret A. Edwards Award (2008)"
"1618238573-3401","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Parable of the Sower (Earthseed, #1)","https://www.goodreads.com/book/show/52397.Parable_of_the_Sower","Parable of the Sower","Octavia E. Butler","8,017
    reviews","80,380
  ratings","4.17","345 pages","Published
        January 1st 2000
         by Grand Central Publishing

            
              (first published October 1993)","Other books in the series","Classics","California,
2025

(United States)","Nebula Award Nominee for Best Novel (1994), Locus Award Nominee for Best SF Novel (1995)"
"1618238548-3308","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Chrysalids","https://www.goodreads.com/book/show/826845.The_Chrysalids","The Chrysalids","John Wyndham","2,282
    reviews","44,901
  ratings","3.93","200 pages","Published
        June 28th 1977
         by Penguin Books

            
              (first published 1955)","null","Fantasy","null","Złota Sepulka for Książka autora zagranicznego (1985)"
"1618238553-3333","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Utopia","https://www.goodreads.com/book/show/18414.Utopia","Utopia","Thomas More","3,046
    reviews","61,967
  ratings","3.55","163 pages","Published
        May 6th 2003
         by Penguin Classics

            
              (first published 1516)","null","Fantasy","null","null"
"1618238499-3123","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Earth Abides","https://www.goodreads.com/book/show/93269.Earth_Abides","Earth Abides","George R. Stewart","2,057
    reviews","26,032
  ratings","3.96","345 pages","Published
        March 28th 2006
         by Del Rey

            
              (first published 1949)","null","Adventure","null","International Fantasy Award for Fiction (1951)"
"1618238612-3549","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","A Canticle for Leibowitz (St. Leibowitz, #1)","https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz","A Canticle for Leibowitz","Walter M. Miller Jr.","4,975
    reviews","97,628
  ratings","3.97","334 pages","Published
        May 9th 2006
         by HarperCollins EOS

            
              (first published October 1959)","Other books in the series","Fantasy","null","Hugo Award for Best Novel (1961), Locus Award for All-Time Best Novel (1975)"
"1618238493-3094","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Logan's Run","https://www.goodreads.com/book/show/73654.Logan_s_Run","Logan's Run","William F. Nolan","650
    reviews","10,471
  ratings","3.66","149 pages","Published
        August 1st 1976
         by Bantam Books

            
              (first published 1967)","Other books in the series","Science Fiction","null","null"
"1618238517-3186","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Cell","https://www.goodreads.com/book/show/10567.Cell","Cell","Stephen King","6,225
    reviews","199,891
  ratings","3.66","449 pages","Published
        December 2006
         by Pocket Star Books

            
              (first published 2006)","null","Horror","null","null"
"1618238522-3207","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Diamond Age: Or, a Young Lady's Illustrated Primer","https://www.goodreads.com/book/show/827.The_Diamond_Age","The Diamond Age: Or, a Young Lady's Illustrated Primer","Neal Stephenson","3,532
    reviews","86,442
  ratings","4.16","499 pages","Published
        May 2nd 2000
         by Spectra

            
              (first published February 1995)","null","Science Fiction","null","Hugo Award for Best Novel (1996), Nebula Award Nominee for Best Novel (1996), Locus Award for Best Science Fiction Novel (1996), Arthur C. Clarke Award Nominee (1996), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1996)
                      ...more
                          Prometheus Award Nominee for Best Novel (1996)
...less"
"1618238706-3900","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Road","https://www.goodreads.com/book/show/6288.The_Road","The Road","Cormac McCarthy","47,078
    reviews","746,264
  ratings","3.97","241 pages","Published
        October 2nd 2006
         by Alfred A. Knopf

            
              (first published September 26th 2006)","null","Literature","null","Pulitzer Prize for Fiction (2007), Locus Award Nominee for Best SF Novel (2007), James Tait Black Memorial Prize for Fiction (2006), The Quill Award for General Fiction (2007), Puddly Award for Fiction (2010)
                      ...more
                          National Book Critics Circle Award Nominee for Fiction (2006), Believer Book Award (2006), Tähtivaeltaja Award (2009), Cena Akademie SFFH for Kniha roku (Book of the Year) (2008), Prix des libraires du Québec for Lauréats hors Québec (2009), International Dublin Literary Award Nominee (2008), The Rooster -- The Morning News Tournament of Books (2007)
...less"
"1618238555-3337","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Enclave (Razorland, #1)","https://www.goodreads.com/book/show/7137327-enclave","Enclave","Ann Aguirre","5,082
    reviews","68,050
  ratings","3.90","259 pages","Published
        April 12th 2011
         by Feiwel & Friends","Other books in the series","Science Fiction","null","RITA Award by Romance Writers of America for Best Young Adult Romance (2012), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013)"
"1618238701-3880","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Stand","https://www.goodreads.com/book/show/149267.The_Stand","The Stand","Stephen King","22,435
    reviews","646,087
  ratings","4.34","1152 pages","Published
        May 1st 1990
         by Doubleday Books

            
              (first published October 3rd 1978)","null","Science Fiction","null","Locus Award Nominee for Best SF Novel (1979), World Fantasy Award Nominee for Best Novel (1979), Gandalf Award Nominee (1979), Balrog Award Nominee for Best Novel (1979) (1980)"
"1618238571-3393","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Man in the High Castle","https://www.goodreads.com/book/show/216363.The_Man_in_the_High_Castle","The Man in the High Castle","Philip K. Dick","12,097
    reviews","184,014
  ratings","3.62","259 pages","Published
        June 30th 1992
         by Vintage

            
              (first published October 1962)","null","Speculative Fiction","null","Hugo Award for Best Novel (1963), Tähtivaeltaja Award (1993)"
"1618238490-3084","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Dune (Dune, #1)","https://www.goodreads.com/book/show/44767458-dune","Dune","Frank Herbert","28,056
    reviews","843,135
  ratings","4.23","688 pages","Published
        October 1st 2019
         by Ace Books

            
              (first published June 1965)","Other books in the series","Science Fiction","null","Hugo Award for Best Novel (1966), Nebula Award for Best Novel (1965), Seiun Award 星雲賞 for Best Foreign Novel (1974)"
"1618238632-3633","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Life As We Knew It (Last Survivors, #1)","https://www.goodreads.com/book/show/213753.Life_As_We_Knew_It","Life As We Knew It","Susan Beth Pfeffer","9,881
    reviews","120,456
  ratings","3.87","337 pages","Published
        October 1st 2006
         by HMH Books for Young Readers","Other books in the series","Audiobook","Pennsylvania

(United States)


    

    Howell, Pennsylvania

(United States)","Buxtehuder Bulle (2010), South Carolina Book Award Nominee for Young Adult Book (2009), Rhode Island Teen Book Award Nominee (2008), Evergreen Teen Book Award (2009), The Inky Awards Nominee for Silver Inky (2008)
                      ...more
                          California Young Readers Medal Nominee for Young Adult (2009), Andre Norton Award Nominee (2006), Missouri Truman Readers Award (2009), Missouri Gateway Readers Award Nominee (2009), Rebecca Caudill Young Readers' Book Award Nominee (2009)
...less"
"1618238659-3718","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Time Machine","https://www.goodreads.com/book/show/2493.The_Time_Machine","The Time Machine","H.G. Wells","11,682
    reviews","432,138
  ratings","3.89","118 pages","Published
        October 1st 2002
         by Signet Classics

            
              (first published May 7th 1895)","null","Fantasy","null","null"
"1618238721-3954","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Brave New World","https://www.goodreads.com/book/show/5129.Brave_New_World","Brave New World","Aldous Huxley","32,941
    reviews","1,508,925
  ratings","3.99","268 pages","Published
        September 1st 1998
         by HarperPerennial / Perennial Classics

            
              (first published 1932)","null","Classics","null","null"
"1618238576-3404","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)","https://www.goodreads.com/book/show/3432478-the-forest-of-hands-and-teeth","The Forest of Hands and Teeth","Carrie Ryan","8,814
    reviews","83,501
  ratings","3.59","310 pages","Published
        July 2009
         by Gollancz

            
              (first published March 10th 2009)","Other books in the series","Young Adult","null","Georgia Peach Book Award Nominee for Honor book (2010), Goodreads Choice Award Nominee for Young Adult Series (2009)"
"1618238617-3569","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Gone (Gone, #1)","https://www.goodreads.com/book/show/2536134.Gone","Gone","Michael  Grant","10,983
    reviews","185,183
  ratings","3.86","560 pages","Published
        June 24th 2008
         by Katherine Tegen Books","Other books in the series","Fantasy","Perdido Beach, California

(United States)","Missouri Truman Readers Award Nominee (2011)"
"1618238470-3021","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Ship Breaker (Ship Breaker, #1)","https://www.goodreads.com/book/show/7095831-ship-breaker","Ship Breaker","Paolo Bacigalupi","4,485
    reviews","43,650
  ratings","3.73","326 pages","Published
        May 1st 2010
         by Little, Brown Books for Young Readers","Other books in the series","Young Adult","New Orleans, Louisiana

(United States)","Locus Award for Best Young Adult Book (2011), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (2013), Golden Duck Award Nominee for Young Adult (Hal Clement Award) (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010), Michael L. Printz Award (2011)
                      ...more
                          Rhode Island Teen Book Award Nominee (2012), Lincoln Award Nominee (2013), Andre Norton Award Nominee (2010), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2010), National Book Award Finalist for Young People's Literature (2010), Missouri Gateway Readers Award Nominee (2013)
...less"
"1618238596-3488","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Atlas Shrugged","https://www.goodreads.com/book/show/662.Atlas_Shrugged","Atlas Shrugged","Ayn Rand","17,825
    reviews","361,689
  ratings","3.69","1168 pages","Published
        August 1st 1999
         by Plume

            
              (first published 1957)","null","Politics","null","Prometheus Hall of Fame Award (1983), National Book Award Finalist for Fiction (1958)"
"1618238561-3357","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Red Rising (Red Rising Saga, #1)","https://www.goodreads.com/book/show/15839976-red-rising","Red Rising","Pierce Brown","26,559
    reviews","268,228
  ratings","4.24","382 pages","Published
        January 28th 2014
         by Del Rey","Other books in the series","Science Fiction","null","Goodreads Choice Award for Debut Goodreads Author & Nominee for Young Adult Fantasy & Science Fiction (2014) and Nominee for Best of the Best  (2018), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2014)"
"1618238677-3790","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","World War Z: An Oral History of the Zombie War","https://www.goodreads.com/book/show/8908.World_War_Z","World War Z: An Oral History of the Zombie War","Max Brooks","26,240
    reviews","459,144
  ratings","4.01","342 pages","Published
        September 12th 2006
         by Crown","Other books in the series","Science Fiction","null","Audie Award for Multi-Voiced Performance (2014), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009), Lincoln Award Nominee (2012), Seiun Award 星雲賞 Nominee for Best Translated Long Form (2011)"
"1618238656-3705","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Cinder (The Lunar Chronicles, #1)","https://www.goodreads.com/book/show/36381037-cinder","Cinder","Marissa Meyer","56,831
    reviews","729,565
  ratings","4.13","400 pages","Published
        2012
         by Feiwel & Friends","Other books in the series","Fantasy","null","Golden Duck Award for Young Adult (Hal Clement Award) (2013), Kalbacher Klapperschlange for Altersgruppe 7. - 9. Klasse (2015), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2014), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2014), Rhode Island Teen Book Award Nominee (2014)
                      ...more
                          California Young Readers Medal for Young Adult (2016), Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012), Rebecca Caudill Young Readers' Book Award Nominee (2016)
...less"
"1618238637-3653","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","We","https://www.goodreads.com/book/show/76171.We","We","Yevgeny Zamyatin","4,969
    reviews","76,635
  ratings","3.91","226 pages","Published
        1993
         by Penguin Classics

            
              (first published 1920)","null","Speculative Fiction","null","null"
"1618238666-3753","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The City of Ember (Book of Ember, #1)","https://www.goodreads.com/book/show/307791.The_City_of_Ember","The City of Ember","Jeanne DuPrau","11,440
    reviews","255,528
  ratings","3.86","288 pages","Published
        2003
         by Random House Children's Books","Other books in the series","Childrens","null","California Book Award for Young Adult (Silver) (2003), Maryland Black-Eyed Susan Book Award for Grade 6-9 (2006), Rhode Island Teen Book Award Nominee (2005), Dorothy Canfield Fisher Children's Book Award Nominee (2005), Child Magazine Best Book of the Year
                      ...more
                          Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2004), Charlie May Simon Children's Book Award Nominee (2006), New Mexico Land of Enchantment Award for Young Adult (2007), Judy Lopez Memorial Award for Children's Literature Nominee (2004), Chapman Award for Shared Reading Nominee for Fiction (2004), William Allen White Children's Book Award (2006), Washington State Sasquatch Award (2006), Bluestem Book Award Nominee (2019), Rebecca Caudill Young Readers' Book Award Nominee (2006)
...less"
"1618238583-3441","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Day of the Triffids","https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids","The Day of the Triffids","John Wyndham","3,650
    reviews","93,024
  ratings","4.02","228 pages","Published
        July 1st 2003
         by Modern Library

            
              (first published 1951)","Other books in the series","Science Fiction","London, England

(United Kingdom)


    

    United Kingdom","International Fantasy Award Nominee for Fiction (1952)"
"1618238566-3382","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Station Eleven","https://www.goodreads.com/book/show/20170404-station-eleven","Station Eleven","Emily St. John Mandel","40,680
    reviews","348,271
  ratings","4.05","333 pages","Published
        September 9th 2014
         by Knopf","null","Literary Fiction","Toronto, Ontario

(Canada)


    

    Michigan

(United States)","Locus Award Nominee for Best SF Novel (2015), Arthur C. Clarke Award (2015), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (Best Foreign Work) (2016), PEN/Faulkner Award for Fiction Nominee (2015), Sunburst Award Nominee for Adult (2015)
                      ...more
                          John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015), British Fantasy Award Nominee for Best Horror Novel (August Derleth Award) (2015), NAIBA Book of the Year for Fiction (2015), Toronto Book Award Nominee (2015), The Great Michigan Read (2015), Women's Prize for Fiction Nominee for Longlist (2015), Andrew Carnegie Medal Nominee for Fiction (2015), National Book Award Finalist for Fiction (2014), Goodreads Choice Award Nominee for Fiction (2014), The Rooster -- The Morning News Tournament of Books (2015)
...less"
"1618238677-3791","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","World War Z: An Oral History of the Zombie War","https://www.goodreads.com/book/show/8908.World_War_Z","World War Z: An Oral History of the Zombie War","Max Brooks","26,240
    reviews","459,144
  ratings","4.01","342 pages","Published
        September 12th 2006
         by Crown","Other books in the series","Audiobook","null","Audie Award for Multi-Voiced Performance (2014), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009), Lincoln Award Nominee (2012), Seiun Award 星雲賞 Nominee for Best Translated Long Form (2011)"
"1618238671-3770","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Do Androids Dream of Electric Sheep? (Blade Runner, #1)","https://www.goodreads.com/book/show/7082.Do_Androids_Dream_of_Electric_Sheep_","Do Androids Dream of Electric Sheep?","Philip K. Dick","14,006
    reviews","368,427
  ratings","4.08","244 pages","Published
        June 1996
         by Del Rey / Ballantine Books

            
              (first published 1968)","Other books in the series","Fantasy","San Francisco, California

(United States)


    

    California

(United States)


    

    United States of America","Nebula Award Nominee for Best Novel (1968)"
"1618238664-3742","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Slaughterhouse-Five","https://www.goodreads.com/book/show/4981.Slaughterhouse_Five","Slaughterhouse-Five","Kurt Vonnegut Jr.","28,424
    reviews","1,172,959
  ratings","4.08","275 pages","Published
        January 12th 1999
         by Dial Press

            
              (first published 1969)","null","Literature","null","Hugo Award Nominee for Best SF Novel (1970), Nebula Award Nominee for Best Novel (1969), National Book Award Finalist for Fiction (1970), Chicago Publishers' Award (1970)"
"1618238677-3792","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","World War Z: An Oral History of the Zombie War","https://www.goodreads.com/book/show/8908.World_War_Z","World War Z: An Oral History of the Zombie War","Max Brooks","26,240
    reviews","459,144
  ratings","4.01","342 pages","Published
        September 12th 2006
         by Crown","Other books in the series","Science Fiction","null","Audie Award for Multi-Voiced Performance (2014), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009), Lincoln Award Nominee (2012), Seiun Award 星雲賞 Nominee for Best Translated Long Form (2011)"
"1618238661-3725","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Wool Omnibus (Silo, #1)","https://www.goodreads.com/book/show/13453029-wool-omnibus","Wool Omnibus","Hugh Howey","13,760
    reviews","167,105
  ratings","4.20","509 pages","Published
        January 25th 2012
         by Broad Reach Publishing","Other books in the series","Fiction","null","Tähtivaeltaja Award Nominee (2014), Prix des libraires du Québec (2015), Bookworm Best Award for People's Pick (2013), Goodreads Choice Award Nominee for Science Fiction and for Goodreads Author (2012)"
"1618238564-3365","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Under the Never Sky (Under the Never Sky, #1)","https://www.goodreads.com/book/show/11594257-under-the-never-sky","Under the Never Sky","Veronica Rossi","8,908
    reviews","112,171
  ratings","3.99","374 pages","Published
        February 7th 2012
         by Atom

            
              (first published December 1st 2011)","Other books in the series","Science Fiction","Reverie","Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012)"
"1618238651-3700","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","I Am Legend and Other Stories","https://www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories","I Am Legend and Other Stories","Richard Matheson","5,044
    reviews","121,594
  ratings","4.00","317 pages","Published
        September 15th 1997
         by Orb Books

            
              (first published 1954)","null","Apocalyptic","null","null"
